repo,file_path,lines_of_code,unique_authors_12m,dominant_author,dominant_author_share,bus_factor_single_dev,churn_12m,risk_score
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/blocks/XpathRegressionAvoidNestedBlocksTest.java,172,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/annotation/XpathRegressionSuppressWarningsTest.java,349,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/annotation/XpathRegressionPackageAnnotationTest.java,87,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/annotation/XpathRegressionMissingOverrideTest.java,277,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/annotation/XpathRegressionAnnotationUseStyleTest.java,300,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/annotation/XpathRegressionAnnotationOnSameLineTest.java,160,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/annotation/XpathRegressionAnnotationLocationTest.java,258,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionUpperEllTest.java,94,1,github-actions[bot],1.0,True,2,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/XpathRegressionTrailingCommentTest.java,85,1,github-actions[bot],1.0,True,2,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionIllegalThrowsTest.java,93,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionIllegalInstantiationTest.java,134,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionIllegalCatchTest.java,93,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionHiddenFieldTest.java,93,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionFinalLocalVariableTest.java,249,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionFallThroughTest.java,101,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionExplicitInitializationTest.java,91,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionEqualsHashCodeTest.java,127,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionEqualsAvoidNullTest.java,91,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionEmptyStatementTest.java,83,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionDefaultComesLastTest.java,100,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionDeclarationOrderTest.java,103,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionCovariantEqualsTest.java,114,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionAvoidNoArgumentSuperConstructorCallTest.java,97,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionAvoidInlineConditionalsTest.java,125,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionNoCloneTest.java,104,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionNoArrayTrailingCommaTest.java,93,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionNestedTryDepthTest.java,98,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionNestedIfDepthTest.java,98,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionNestedForDepthTest.java,97,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionMultipleVariableDeclarationsTest.java,121,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionMultipleStringLiteralsTest.java,153,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionModifiedControlVariableTest.java,183,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionMissingSwitchDefaultTest.java,92,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionMissingCtorTest.java,101,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionMagicNumberTest.java,122,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionInnerAssignmentTest.java,93,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionIllegalTypeTest.java,91,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionIllegalTokenTextTest.java,125,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionIllegalTokenTest.java,90,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionUnnecessarySemicolonAfterOuterTypeDeclarationTest.java,81,1,SteLeo1602,1.0,True,9,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionUnnecessaryParenthesesTest.java,261,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionUnnecessaryNullCheckWithInstanceOfTest.java,112,1,SteLeo1602,1.0,True,5,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionSuperFinalizeTest.java,105,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionSuperCloneTest.java,112,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionStringLiteralEqualityTest.java,121,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionSimplifyBooleanReturnTest.java,94,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionSimplifyBooleanExpressionTest.java,120,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionReturnCountTest.java,230,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionRequireThisTest.java,95,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionParameterAssignmentTest.java,130,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionPackageDeclarationTest.java,93,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionOverloadMethodsDeclarationOrderTest.java,109,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionOneStatementPerLineTest.java,91,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionNoFinalizerTest.java,111,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionNoEnumTrailingCommaTest.java,89,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/design/XpathRegressionSealedShouldHavePermitsListTest.java,102,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/design/XpathRegressionOneTopLevelClassTest.java,91,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/design/XpathRegressionMutableExceptionTest.java,144,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/design/XpathRegressionInterfaceIsTypeTest.java,101,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/design/XpathRegressionInnerTypeLastTest.java,147,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/design/XpathRegressionHideUtilityClassConstructorTest.java,91,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/design/XpathRegressionFinalClassTest.java,100,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/design/XpathRegressionDesignForExtensionTest.java,112,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionVariableDeclarationUsageDistanceTest.java,126,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionUnusedLocalVariableTest.java,115,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionUnnecessarySemicolonInTryWithResourcesTest.java,91,1,SteLeo1602,1.0,True,9,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionUnnecessarySemicolonInEnumerationTest.java,90,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/coding/XpathRegressionUnnecessarySemicolonAfterTypeMemberDeclarationTest.java,91,1,SteLeo1602,1.0,True,9,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/javadoc/XpathRegressionJavadocTypeTest.java,133,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/javadoc/XpathRegressionJavadocMethodTest.java,182,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/javadoc/XpathRegressionJavadocContentLocationTest.java,96,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/javadoc/XpathRegressionInvalidJavadocPositionTest.java,190,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/indentation/XpathRegressionIndentationTest.java,290,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/indentation/XpathRegressionCommentsIndentationTest.java,237,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/imports/XpathRegressionUnusedImportsTest.java,88,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/imports/XpathRegressionRedundantImportTest.java,98,1,SteLeo1602,1.0,True,10,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/imports/XpathRegressionImportOrderTest.java,155,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/imports/XpathRegressionImportControlTest.java,136,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/imports/XpathRegressionIllegalImportTest.java,86,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/imports/XpathRegressionCustomImportOrderTest.java,185,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/imports/XpathRegressionAvoidStaticImportTest.java,88,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/imports/XpathRegressionAvoidStarImportTest.java,88,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/design/XpathRegressionVisibilityModifierTest.java,136,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/design/XpathRegressionThrowsCountTest.java,120,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionAbstractClassNameTest.java,135,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/naming/XpathRegressionAbbreviationAsWordInNameTest.java,255,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/modifier/XpathRegressionRedundantModifierTest.java,190,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/modifier/XpathRegressionModifierOrderTest.java,115,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/modifier/XpathRegressionInterfaceMemberImpliedModifierTest.java,142,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/modifier/XpathRegressionClassMemberImpliedModifierTest.java,103,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/metrics/XpathRegressionNPathComplexityTest.java,101,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/metrics/XpathRegressionJavaNCSSTest.java,128,1,SteLeo1602,1.0,True,8,5
checkstyle,src/it/java/org/checkstyle/suppressionxpathfilter/metrics/XpathRegressionCyclomaticComplexityTest.java,106,1,SteLeo1602,1.0,True,8,5
