repo,repo_url,seed_category,activity_label,analysis_date_utc,repo_head_sha,file_path,file_language,absolute_path,lines_of_code,unique_authors_12m,repo_unique_authors_12m,repo_commits_12m,repo_commits_per_month_12m,churn_12m,added_lines_12m,deleted_lines_12m,bus_factor_single_dev,bus_factor_75_dominant_author,dominant_author,dominant_author_share,last_12m_observed_commits
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/ObservableFlatMapPerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\ObservableFlatMapPerf.java,61,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/OperatorFlatMapPerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorFlatMapPerf.java,91,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/OperatorMergePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\OperatorMergePerf.java,175,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/PerfAsyncConsumer.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\PerfAsyncConsumer.java,86,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/PerfBoundedSubscriber.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\PerfBoundedSubscriber.java,56,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/PerfConsumer.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\PerfConsumer.java,61,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/PerfInteropConsumer.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\PerfInteropConsumer.java,62,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/PerfObserver.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\PerfObserver.java,50,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/PerfSubscriber.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\PerfSubscriber.java,50,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/PublishProcessorPerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\PublishProcessorPerf.java,106,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/RangePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\RangePerf.java,84,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/ReducePerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\ReducePerf.java,80,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
RxJava,https://github.com/ReactiveX/RxJava,STAGNANT,ACTIVE,2026-01-06T01:26:06.388173+00:00,cba8b1a124c9ccdcc906e4fb320fce5e454d3fa8,src/jmh/java/io/reactivex/rxjava3/core/RxVsStreamPerf.java,java,C:\Final_Year_Project_\data\raw_repos\RxJava\src\jmh\java\io\reactivex\rxjava3\core\RxVsStreamPerf.java,116,0,4,85,7.083333333333333,0,0,0,False,False,,0.0,0
