project_key,file_path,sonar_complexity,sonar_ncloc,sonar_cognitive_complexity,sonar_comment_lines_density,sonar_reliability_rating,sonar_security_rating,sonar_sqale_rating,sonar_sqale_index,sonar_violations,sonar_code_smells,sonar_bugs,sonar_vulnerabilities,sonar_duplicated_blocks,sonar_duplicated_lines_density,sonar_test_success_density,repo,analysis_date_utc,repo_head_sha,sonar_host_url,sonar_project_key
guava,guava-tests/test/com/google/common/base/PackageSanityTests.java,1,11,,15.4,1.0,1.0,1.0,,,,,,,,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/PreconditionsTest.java,100,365,16,11.8,1.0,1.0,1.0,8,2,2,,,1,89.5,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/PredicatesTest.java,107,757,3,8.7,1.0,1.0,1.0,25,9,9,,,1,94.7,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/ReflectionFreeAssertThrows.java,35,129,6,4.4,1.0,1.0,1.0,90,28,28,,,2,74.2,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/SplitterTest.java,119,625,3,7.0,1.0,1.0,1.0,243,27,27,,,1,94.8,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/StandardSystemPropertyTest.java,10,39,8,13.3,1.0,1.0,1.0,20,1,1,,,1,51.4,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/StopwatchTest.java,17,162,,1.8,1.0,1.0,1.0,,1,1,,,1,81.3,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/StringsTest.java,28,189,1,12.1,1.0,1.0,1.0,78,9,9,,,1,85.9,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/SuppliersTest.java,69,418,25,8.5,1.0,1.0,1.0,42,14,14,,,1,90.2,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/TestExceptions.java,2,18,,5.3,1.0,1.0,1.0,,,,,,1,45.5,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/ThrowablesTest.java,66,307,3,12.0,1.0,1.0,1.0,,1,1,,,1,85.1,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
guava,guava-tests/test/com/google/common/base/ToStringHelperTest.java,53,516,,8.8,1.0,1.0,1.0,429,53,53,,,2,87.0,,guava,2026-01-06T01:29:57.670195+00:00,a86332829a683cece7fc9e0b33317cdd90367fc6,http://localhost:9000,guava
